date,spend_all
2022-1-12,.129
2022-1-13,.136
2022-1-14,.176
2022-1-15,.17
2022-1-16,.117
2022-1-17,.134
2022-1-18,.101
2022-1-19,.105
2022-1-20,.101
2022-1-21,.0693
2022-1-22,.0698
2022-1-23,.123
2022-1-24,.126
2022-1-25,.109
2022-1-26,.0852
2022-1-27,.0718
2022-1-28,.0709
2022-1-29,.078
2022-1-30,.0964
2022-1-31,.112
2022-2-1,.129
2022-2-2,.138
2022-2-3,.144
2022-2-4,.142
2022-2-5,.159
2022-2-6,.166
2022-2-7,.16
2022-2-8,.146
2022-2-9,.139
2022-2-10,.132
2022-2-11,.137
2022-2-12,.142
2022-2-13,.128
2022-2-14,.122
2022-2-15,.122
2022-2-16,.125
2022-2-17,.127
2022-2-18,.127
2022-2-19,.117
2022-2-20,.127
2022-2-21,.129
2022-2-22,.113
2022-2-23,.107
2022-2-24,.106
2022-2-25,.109
2022-2-26,.114
2022-2-27,.108
2022-2-28,.122
2022-3-1,.136
2022-3-2,.15
2022-3-3,.162
2022-3-4,.155
2022-3-5,.149
2022-3-6,.153
2022-3-7,.151
2022-3-8,.148
2022-3-9,.143
2022-3-10,.142
2022-3-11,.147
2022-3-12,.149
2022-3-13,.15
2022-3-14,.151
2022-3-15,.15
2022-3-16,.153
2022-3-17,.149
2022-3-18,.147
2022-3-19,.153
2022-3-20,.152
2022-3-21,.149
2022-3-22,.145
2022-3-23,.137
2022-3-24,.132
2022-3-25,.131
2022-3-26,.128
2022-3-27,.124
2022-3-28,.12
2022-3-29,.115
2022-3-30,.116
2022-3-31,.124
2022-4-1,.137
2022-4-2,.142
2022-4-3,.153
2022-4-4,.162
2022-4-5,.174
2022-4-6,.18
2022-4-7,.176
2022-4-8,.164
2022-4-9,.155
2022-4-10,.144
2022-4-11,.147
2022-4-12,.149
2022-4-13,.152
2022-4-14,.161
2022-4-15,.167
2022-4-16,.17
2022-4-17,.147
2022-4-18,.138
2022-4-19,.131
2022-4-20,.124
2022-4-21,.147
2022-4-22,.143
2022-4-23,.141
2022-4-24,.167
2022-4-25,.162
2022-4-26,.16
2022-4-27,.16
2022-4-28,.127
2022-4-29,.137
2022-4-30,.139
2022-5-1,.137
2022-5-2,.15
2022-5-3,.16
2022-5-4,.169
2022-5-5,.174
2022-5-6,.164
2022-5-7,.171
2022-5-8,.171
2022-5-9,.165
2022-5-10,.158
2022-5-11,.148
2022-5-12,.148
2022-5-13,.156
2022-5-14,.153
2022-5-15,.154
2022-5-16,.151
2022-5-17,.15
2022-5-18,.157
2022-5-19,.152
2022-5-20,.144
2022-5-21,.136
2022-5-22,.139
2022-5-23,.135
2022-5-24,.132
2022-5-25,.131
2022-5-26,.139
2022-5-27,.186
2022-5-28,.15
2022-5-29,.144
2022-5-30,.153
2022-5-31,.148
2022-6-1,.166
2022-6-2,.169
2022-6-3,.159
2022-6-4,.153
2022-6-5,.155
